Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Martha/Sara,,,Tribes,2,Does the GSP consider Tribes when establishing measurable objectives?,NO: no mention Somewhat: mention vaguely &/ only for one MO section YES: mention in both MO sections and justify/describe,"measurable objectives, tribal, tribes",No,"Categories of beneficial uses of groundwater in the North Coast Region, as listed in the Basin Plan, include municipal and domestic supply, agricultural supply, industrial supply, aquaculture, and Native American culture. Specific uses of groundwater in the Basin include groundwater use for irrigation in agriculture, a significant part of the local economy, as stock water, and as a municipal and domestic water source. Importantly, beneficial uses also include ground water dependent ecosystems and instream habitat where and when groundwater contributes to streamflow.&&&
The established maximum thresholds for groundwater quality protect and maintain groundwater quality for existing or potential beneficial uses and users. Maximum thresholds align with state drinking water standards, which are derived from the maximum contaminant levels (MCLs) in Title 22 of the California Code of Regulations. The more stringent water quality objectives for specific conductivity, specified in the basin Plan, are reflected in the trigger values defined for this constituent. New COIs may be added with changing conditions and as new information becomes available.","Page 36 / 3.7
Page 46 / 3.7.3.1","1. Does the GSP mention Tribes for ISW MO? No, vaguely mention as a beneficial user
2. Does the GSP mention Tribes for groundwater elevation MO? No
3. Does the GSP mention Tribes for ISW MO? No
4. Do they justify/evaluate the MOs based on Tribal water needs? No
They do consider Native american Culture as beneficial users. Groundwater Quality",,
Becky/Sara,,,Ecosystems,2,Does the GSP consider GDEs when establishing measurable objectives?,NO: no mention Somewhat: mention vaguely &/ only for one MO section YES: mention in both MO sections and justify/describe,"measurable objectives, groundwater dependent ecosystems, environmental beneficial user",Yes,"Results of this analysis are shown in Figure 3 and indicate that increasing depth to groundwater by 2.5 and 5 ft basin-wide will result in GDE coverage loss of 13% and 20%, respectively. This is well within historical margins and comparable to Fall 2015. In addition, considering the significant uncertainties posed by spatial gaps in groundwater elevation data and the interpolation method, the GSA and its technical advisory committee found that MTs are sufficiently protective of GDEs in the basin and with the implementation of the GSP and its projects and management actions, significant harm to GDEs will be avoided. The GSA is committed to cooperative, multi-benefit projects in coordination with land trusts, resource conservation agencies, and other stakeholders to anticipate and mitigate impacts to GDEs that directly result from unsustainable groundwater management.","Page 28 / 3.4.3.1
Figure 3","1. Does the GSP mention GDEs for ISW MO? No, but groundwater elevation is the proxy for ISW
2. Does the GSP mention GDEs for groundwater elevation MO? Yes
3. Do they justify/evaluate the MOs based on GDE water needs? Yes
They have a section on Groundwater elevation on ""Information and Methodology Used to Establish Minimum Thresholds and Measurble Objectives"" where they consider GDE. No mention in other sections.",,
Meagan,MONITORING NETWORK,,DACs / Tribes / Drinking Water Users,1,"Do the Representative Monitoring Sites (RMS) in the monitoring network adequately represent water quality conditions around DACs, domestic wells, and Tribes (In the case of data gaps, evaluate proposed monitoring sites)? In the notes, please specify whether RMS for each of the contaminents identified in the basin (see line 24). Answer Yes = existing and proposed monitoring wells are adequately distributed across DAC, domestic well, and Tribal areas; Somewhat = existing and proposed RMS do not adequately cover DAC, domestic well, and Tribal portions of the basin; No = Existing and proposed RMS are not available within DAC, domestic well, and Tribal areas.","NO = RMS are not located within one mile of any DACs, domestic wells, or tribes
Somewhat = RMS are within one mile of at least one DAC, domestic well or tribe
Yes = RMS are within one mile of ALL DAC, domestic and tribal communities within the basin boundary
","water quality, contaminents, COC, data gap, disadvantaged communit*, DAC",Somewhat,,Page 40 Figure 5 / Chapter 3S,"1. How were Elevation RMS listed? (CASGEM ID, lat/long, described) Shown on a map / number of wells per constituent
2. How many Elevation RMS were we able to map? (all, some, none) None
3. Of those mapped, was there a well within 1 mile of DACs? Unable to map, but based on Figure 5 it looks as though yes for the southern DAC and SDAC groups but not for the center or northern tribes and DACs/SDACs
4.Of those mapped, was there a well within 1 mile of Tribes? Unable to map but based on figure 5, None of the 5 tribes are monitored for water quality
5. Of those mapped, was there a well within 1 mile of domestic wells? Based on Figure 5, only monitoring of domestic wells in the southernmost part of the basin

Table 5 has # wells / constituent

There is little to no water quality monitoring in the northern part of the basin for the princiapl aquifer (aquifer I) this area is where tribes DACs, and SDACs are located ",,
Meagan,,,DACs / Tribes / Drinking Water Users,1,"Do the Representative Monitoring Sites (RMS) in the monitoring network adequately represent shallow groundwater elevations around DACs, domestic wells, and Tribes (In the case of data gaps, evaluate proposed monitoring sites). In the notes, please specify any deficiencies in the distribution of representative monitoring sites (RMS). Yes = existing and proposed monitoring wells are adequately distributed across DAC, drinking wells, and tribal areas; Somewhat = existing and proposed RMS do not adequately cover DAC, drinking wells, and tribal portions of the basin; No = Existing and proposed RMS are not available within DAC, drinking wells, and tribal areas.","NO = RMS are not located within a mile of any DACs, domestic wells, or tribes
Somewhat = RMS are within one mile of at least one DAC, domestic well or tribe
Yes = RMS are within one mile of ALL DAC, domestic and tribal communities within the basin boundary
","shallow monitoring well, data gap, disadvantaged communit*, DAC, tribal, tribe",Somewhat,,"RMS: Page 25 Figure 2 / Chapter 3S

&&

Page 112 Figure 33 / Chapter 3S","1. How were WQ RMS listed? (CASGEM ID, lat/long, described) CASGEM ID and lat/long
2. How many WQ RMS were we able to map? (all, some, none) All
3. Of those mapped, was there a well within 1 mile of DACs? Yes
4.Of those mapped, was there a well within 1 mile of Tribes? Yes
5. Of those mapped, was there a well within 1 mile of domestic wells? Yes


There are only 3 RMS within the basin for the Principal aquifer (Aquifer I) the locations of these RMS leave out representative monitoring for a majority of DACs and three out of 5  tribes in the basin.


",,
Becky,,,Environment,1,Does the GSP include a plan to identify and fill shallow monitoring well data gaps around GDEs and ISWs in the monitoring network?,"No plan in place to identify and fill shallow well data gaps around GDEs and ISWs; no potential plan
  = no
Mention of shallow monitoring data gap and need to fill but no detailed plan in monitoring network or PMAs; contradictory statements in different sections; potential PMA; City is handling it = somewhat
GSP has a clear plan to fill spatial and/or temporal data gaps with regards to GDEs and ISWs in monitoring network section or PMAs
. = yes","shallow monitoring well, data gap, groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE ",Yes,"The Basin has two principal aquifers and a data gap exists for the number of groundwater wells that specifically monitor the upper principal aquifer (Aquifer I). The monitoring network is designed to span these two aquifers and provide adequate vertical coverage for as many wells as possible. Importantly, monitoring well density is appropriate to extrapolate seasonal groundwater elevation maps to support the shallow well protection analysis, GDE impact analysis, and tomonitor seasonal changes in hydraulic gradients that indicate changes in ISWdepletion. Implementation actions are proposed to cover data gaps that still exist within the network and improvements thatmay help such assessments && The selected subset of the CASGEMProgramwells for the basin will bemigrated accordingly to the GSP monitoring network and administered by the GSA upon submission of the GSP. Mendocino County CASGEM Program will be eliminated for the Basin when this migration is completed. The GSA has received Technical Support Services (TSS) grants from DWR to drill four or five additional  wells. The TSS grant-funded wells will also be included in the groundwater elevation monitoring network. In addition, a subset of existing CASGEMwells has been selected to be instrumented with  continuousmeasurement devices and combined with TSS-funded wells to formtransects along the river. These wells will be automatically included in the groundwater elevation monitoring network  and interconnected surface water monitoring network similar to the TSS-funded wells.",Page 11 && Page 13 / 3.3.2,"1. Is there a plan to fill shallow groundwater wells in the monitoring network section? yes
2.And/OR is there a plan to fill shallow groundwater wells in the PMA section? yes

Plan is in place to include new wells that will assist with ISW monitoring network - assuming these wells are to fill the shallow well data gap that is mentioned on page 11.","1. Is there a plan to fill shallow groundwater wells in the monitoring network section?
2.And/OR is there a plan to fill shallow groundwater wells in the PMA section?",
Becky,,,Environment,2,Does the GSP include any plans to incorporate GDE-related biological monitoring into the monitoring network?,"No plan or mention of biological monitoring 
  = no
Some coordination with other agencies; Mention of the possibility of future biological monitoring/surveys = somewhat
Clear plans for biological monitoring are described; Remote sensing; field surveys, etc. = yes","GDE Pulse, NDVI, normalized difference vegetation index, biologic*, survey, vegetation, fish",No,,,"1. Is there a plan in place for biological monitoring, including but not limited to field surveys, remote sensing (NDMI, NDVI), aerial photographs? no

No plan for biological monitoring
","1. Is there a plan in place for biological monitoring, including but not limited to field surveys, remote sensing (NDMI, NDVI), aerial photographs?",
Sara,PROJECTS & MANAGEMENT ACTIONS,,Environment,2,Does the GSP include any recharge projects with explicit benefits to the environment?,"NO = no recharge &/no mention of benefits, &/ on-going project without coordination. SOMEWHAT = benefits to environment generally &/or on-going project with coordination &/or proposed project;  YES = explicit benefits to environment & the GSPs implementing;","recharge, managed aquifer recharge, MAR, multi-benefit recharge",Somewhat,"The City of Ukiah has proposed a groundwater recharge project through the construction of a recharge basin at Riverside Park that would facilitate aquifer recharge and create seasonal wetlands. Estimated costs for the design and construction of this recharge basin, which could potentially recharge the aquifer by 1,000 AFY is approximately $1,750,000. Construction of this recharge basin would improve groundwater supply and reliability while also creating riparian and wetland habitat in a natural park setting.",Page 17,"1. Are there projects that involve groundwater recharge? Yes
2. Do those projects list explicit benefits to the environment? Yes
3. Are the projects new, on-going or proposed? Proposed
4. Are the projects implemented by the GSP or others? GSP
5. If others, is the GSP coordinating with the others in implementation? NA

This is a proposed project",,
Sara,,,Environment,2,"Does the GSP include any habitat or stream restoration or invasive species removal projects (e.g., to improve water supply in the basin or GDE habitats)?",NO = on-going project without coordination. SOMEWHAT = on-going project with coordination &/or proposed project;  YES = the GSPs implementing;,"invasive species, habitat",Yes,"In 2020, the California Land Stewardship Institute (CLSI) received one of only five watershed coordinator grants in California to work with the Ukiah Valley GSA. CLSI has worked in the Ukiah Valley for over 25 years primarily completing numerous Fish Friendly Farming and Ranching plans and projects, running the Russian River Frost program, and implementing many water storage, conservation, and recycled water projects with landowners and cities. The grant work plan addresses the need for a community-based watershed plan that identifies specific actions needed to implement SGMA and address federal, state, and local planning goals. The watershed coordinator will support the identification of projects to improve groundwater levels, restore fish and wildlife habitat, and reduce fire fuels in the watershed. The watershed coordinator will work with the GSA, Technical Advisory Committee, Mendocino County, and other partners to define project locations for groundwater recharge and conjunctive use , evaporation reduction, stream revegetation, and fire/fuel reduction and work with landowners to assure such projects can be implemented in a collaborative manner. Project identification starts in May 2021 and will produce a first round of easy-to-implement projects within 2021. CLSI will work with local partners and the GSA to implement projects, and can also rapidly implement projects directly.
Removal of levee on Forsythe Creek will allow expansion of floodwaters, reducing erosion, and increasing infiltration. Armoring opposite bank will protect private residences from further property damage. Restoring riparian community will promote natural species recovery.&&&
 4.3.2.2 Conservation Easements Description of this project is under review and may be revised Conservation easements primarily involve voluntary land repurposing that reduce or eliminate surface water irrigation (streamflow augmentation). This would offset depletions of interconnected surface water. These actions may also involve groundwater irrigation reduction for part or all of the irrigation season, in some or all years, on currently irrigated acreage. Conservation easements may also include floodplain reconnection/expansion projects. Depending on the circumstances of an individual project, conservation easements may include habitat conservation easements, wetland and reserve easements, or other easements that limit irrigation on a certain area of land. It may be established that certain portions of a property may be suitable for an easement, while the rest of the property remains in irrigated agriculture.
","Page 6 /4.0
Table 2 / Page 12
Page 20 / 4.3.2.2","If yes to projects:
1. Are the projects new, on-going or proposed? On-going
2. Are the projects implemented by the GSP or others? GSP
3. If others, is the GSP coordinating with the others in implementation?

This is ongoing project which 60% is already done which includes restoring riparian to help natural habitat. (This can be indirect impact of the project)",,
Sara,,,All,1,"Does the GSP identify benefits or impacts of identified projects and management actions to key beneficial users such as GDEs, drinking water users, tribes, DACs?","NO = no mention of benefits, &/ on-going project without coordination. SOMEWHAT = benefits to beneficial users broadly &/or on-going project with coordination &/or proposed project;  YES = explicit benefits to environment & the GSPs implementing;","beneficial users, environment, GDE, DAC, trib*",Somewhat,"City of Ukiah’s Water Resources Department plans to implement Phase IV of the Purple Pipe Project, which will add six miles of pipeline, a one million gallon storage tank, ponds, and a booster station to provide an additional 400 AFY of recycled water to serve schools, parks, the cemetery, and golf course. This phase of the project is expected to cost approximately $18 million.&&&& 4.3.2.1 Pump(s) For Potable Water Intertie The City of Ukiah is proposing to install two pumps within an intertie system to provide potable drinking water to the adjoining county water districts, Millview County Water District to the north and Willow County Water District to the south. The cost for each pump would be about $140,000. This projects is expected to increase supply reliability for the two water districts and the region, and consequently, reduce stress on the groundwater basin and diversions from the surface water bodies.&&&& Municipal Supply and Use Efficiency Improvements This PMA involves future infrastructural improvements, outreach and education efforts, and operational adjustments that would reduce municipal demand, increase supply reliability and water use efficiency for municipal beneficial users. It may include educational workshops and training to increase water conservation, provide incentives and rebates on appliances’ and utilities’ improvements, leak detection and distribution network rehabilitation, and improved metering &&& 4.3.3.2 Drought mitigation measures Drought mitigation plans or similar contingency plans, have been developed by the water districts, tribes, and other suppliers in the basin. This PMA involves obtaining such documents and evaluating them to find common conservation and supply reliability actions that require coordination within the basin or the watershed to serve a larger beneficial user group. Results of this investigation will be compared with the GSP metrics (Chapter 3) and the next phases will be developed in conjunction with GSP’s proposed PMAs. If deemed needed and/or helpful, the GSA will coordinate with other partners to develop a drought resiliency plan for the basin, as well.","Page 20 / 4.3.2.1
Page 23 / 4.3.2.7
Page 24 / 4.3.2.2","1. Do they identify explicity beneficial users? Yes
2. Do they describe the impact or benefit to the users identified? Yes
3. Across all PMAs, do they include GDEs, drinking water users, Tribes and DACs? If yes, which? GDE and Municipal users
4. Are the projects proposed, ongoing?  Purple pipe project =Completed / installing pumps=propose
5. Are the projects implemented by GSA or others?  City of Ukiah / Mendocino County Russian River Flood Control and Water Conservation Improvement District intends
",,
Martha/Sara,,,DACs,2,Does the GSP include any recharge projects with explicit benefits to DACs?,"NO = no mention of benefits, &/ on-going project without coordination. SOMEWHAT = benefits to beneficial users broadly &/or on-going project with coordination &/or proposed project;  YES = explicit benefits to environment & the GSPs implementing;","recharge, managed aquifer recharge, MAR",No,"3) Mendocino County Water Agency Groundwater Recharge Projects
There are several areas across the Basin, such as reclaimed mines and gravel pits, that would require minimal infrastructural improvements to recharge the underlying aquifer. A Geophysical study must be conducted on these areas to identify geologically suitable locations for recharging the aquifer by stormwater and river diversions. Followed by geophysical studies, the UVBGSA can begin working on contracting or purchasing these tracts of land to implement pilot recharge projects and conduct additional studies with the ultimate goal of implementing effective recharge basins. Some examples of these reclaimed mines include:
 • Ford Gravel - Talmage: this is a sand and gravel dredged site owned by NORCAL Recycled  Rock in Talmage area. it includes 95 acres of permitted and 26.5 acres of disturbed land
 (reclamation in progress).
 • Redwood Valley Gravel Products Mine: Located in Redwood Valley area, this is a streambed/gravel bar pitting site that includes 56 acres of permitted and 2 acres of
 disturbed land (none reclaimed).
 • Nor-Cal Investment Co., Inc. Mine : Located in the west of town of Calpella, this site includes3 acres of disturbed land with no listed excavation or completed reclamation.
 • Kunzler Terrace Mine Project: Located just north of the City of Ukiah, this site was inteneded to be developed as a sand and gravel quarry by thte Granite Construction Company. A CEQA
EIR was completed in 2010 for this site, but the project was never excavated.
&&&
6) Distributed Storm Water Collection and Managed Aquifer Recharge (DSC-MAR) Distributed Stormwater Collection and Managed Aquifer Recharge (DSC-MAR) is a landscape management strategy that can help to reduce aquifer overdraft and maintain long-term water supply reliability. DSC-MAR targets relatively small drainage areas from which stormwater runoff can be collected for infiltration. Infiltration can be accomplished in surface basins, typically having relatively small surface areas, or potentially through flooding of agricultural fields or flood plains, use of dry wells, or other strategies. Feasibility studies and pilot projects need to be designed to take advantage of DSC-MAR in the basin. These projects can be combined with the County ofMendocino and City of Ukiah’s stormwater management programs and plans and utilize their respective LID manuals.1 This PMA can be designed and implemented along or in conjunction with similar and ongoing projects in the basin executed by the MCRCD and local water districts.","Page 18 / 4.3.1.2
Page 19 / 4.3.1.2","1. Are there projects that involve groundwater recharge? Yes
2. Do those projects list explicit benefits to DACs? No
3. Are the projects new, on-going and proposed? proposed
4. Are the projects implemented by the GSP or others? others, Mendocion County
5. If others, is the GSP coordinating with the others in implementation? 


NO explicit mention of DAC/ They do have multiple recharge project but no mention of DAC",,
Sara,,,DACs / Drinking Water,,Does the GSP include a drinking water well mitigation program to avoid significiant and unreasonable loss of drinking water?,"NO: No well mitigation program SOMEWHAT: well mitigation program, but not explicitly for drinking water users and DACs &/ proposed or on-going with coordination YES: well mitigation program for drinking water users and DACs","drinking water, well mitigation program",No,"Using the California Well Completion Report (WCR) database, UVBGSA conducted an analysis to evaluate impacts of returning to Fall 2016 groundwater levels. The analysis showed that if the groundwater levels decline 2 ft (3 m) below Fall 2016 conditions about 5% of domestic users with shallow or ill-designed wells may also be impacted. Most of these wells are shallow and located around surface water bodies, which would increase the likelihood of short-term impacts on surface water bodies, especially when pumping is at its peak. These shallow wells are primarly for domestic use, mixed domestic/agricultural use, or small agricultural wells. There are also several riparian users and surface water rights holders along the Russian River that use such rights to divert water as their primary source of supply, including a few public water purveyors. A portion of the rights holders do not have reliable wells to use in low-flow years and/or the number and condition of their wells cannot satisfy their existing demand.",Page 15 / 4.3.1.1,"1. Is there a well mitigation program? No
2. Is the program new, on-going or proposed? NA
3. Is the well mitigation program explicitly for drinking water users and DACs? NA",,
Sara,,,DACs,1,Does the GSP identify potential impacts to water quality from Projects and Management Actions?,"NO = no mention of benefits, &/ on-going project without coordination. SOMEWHAT = benefits to beneficial users broadly &/or on-going project with coordination &/or proposed project;  YES = explicit benefits to environment & the GSPs implementing;","water quality, disadvantaged communit*, DAC",No,,,"
1. Do those projects list potential impacts to water quality? No
2. Are the projects new, on-going or proposed? NA
3. Are the projects implemented by the GSP or others? NA
4. If others, is the GSP coordinating with the others in implementation? NA
NO explicit mention of impact on WQ or DAC",,
Lauren,OTHER,,,,Does the GSP have plans to use Open ET to monitor groundwater extractions from agriculture?,"No: Open ET not mentioned in GSP
Somewhat: Satellite based evapotranspiration used in analysis and monitoring for future groundwater extractions from agriculture
Yes: Open ET identified as a resource that will be used for monitoring future extractions from agriculture",OpenET,No,,,,,
Lauren,,,,,Does the GSP have plans to install meters on wells in the basin?,"No: No mention of installing meters on wells or mentions meters as a DWR recommendation but no plans to install
Somewhat: Mentions potential plans for installing meters in event of exceedance, or identifies need for meters but no details of plans for installation
Yes: Describes plans for installing meters in detail as a planned project  ",meters,No,"4.3.3.5 Voluntary wells metering program The GSA has concluded that metering groundwater pumpage in the basin is not feasible at least in the near term considering the difficulties in its implementation, the significant cost that it may impose, and the lack of desire received from the majority of users during outreach programs and meetings. However, groundwater use is a major data gap in the basin, and filling this data gap, even partially, would benefit the management of the basin and its future assessment. Therefore, through this PMA, the GSA will try to encourage and incentivize voluntary well metering throughout the basin. Data collected can be successfully used to validate the estimates developed with the integrated hydrological model and used for future assessments of the basin condition and effectiveness of PMAs.",25 / 4.3.3.5,"No - if there is no mention of installing meters / or if it is ""encouraged"" and no enforced.
Somewhat - if it mentions plans of installing meters in the future as needed
Yes - if meters are part of project management actions that will be implemented and includes details on implementation/timeline",,
Lauren,,,,,"Does the GSP have plans to implement demand reduction (e.g., pumping cuts) in the basin to achieve sustainability?","No: No plans in place for supply augmentation
Somewhat: Potential projects or evaluations of feasibility to implement supply augmentation mentioned
Yes: Planned supply augmentation described in detail to achieve sustainability","demand, demand reduction, pumping cuts, demand management",Somewhat,"4.3.2. Demand Management Water Conservation
4.3.2.1 Pump(s) For Potable Water Intertie The City of Ukiah is proposing to install two pumps within an intertie system to provide potable drinking water to the adjoining county water districts, Millview County Water District to the north and Willow County Water District to the south. The cost for each pump would be about $140,000. This projects is expected to increase supply reliability for the two water districts and the region, and consequently, reduce stress on the groundwater basin and diversions from the surface water bodies.

.....
4.3.2.7 Municipal Supply and Use Efficiency Improvements This PMA involves future infrastructural improvements, outreach and education efforts, and operational adjustments that would reduce municipal demand, increase supply reliability and water use efficiency for municipal beneficial users. It may include educational workshops and training to increase water conservation, provide incentives and rebates on appliances’ and utilities’ improvements, leak detection and distribution network rehabilitation, and improved metering
As part of this PMA, the Mendocino County Russian River Flood Control and Water Conservation Improvement District intends to conduct a feasibility study to replace old meters and calibrate existing meters to improve tracking of surface water diversions and assess the possibility of telemetry instrumentation. This project would provide data regarding surface water diversions amount and location, and help improve water budget calculations and re-calibrate the integrated hydrological model.",4.3.2,Planned and potential projects for demand reduction in Section 4.3.2. All are Tier II future potential projects,,
Lauren,,,,,"Does the GSP have plans to implement supply augmentation (e.g., recharge projects, desalinating brackish groundwater) in the basin to achieve sustainability?","No: No plans in place for supply augmentation
Somewhat: Potential projects or evaluations of feasibility to implement supply augmentation mentioned
Yes: Planned supply augmentation described in detail to achieve sustainability","recharge, managed aquifer recharge, MAR, desalin*, brackish groundwater",Somewhat,"4.3.1 Supply Augmentation Projects

4.3.1.2 Managed Aquifer Recharge and Injection Wells Geophysical analysis conducted during the GSP development indicated presence of conductive soils in the Basin that could contribute toward groundwater recharge from surface water sources. However, existing data gaps  prevents the GSA from fully analyzing the geology below these soils using the integrated hydrological model to determine operational locations for groundwater recharge projects. If funding becomes available, additional geological analyses can be performed to specify pilot groundwater recharge projects within the Basin. Both active and passive conjunctive uses can be considered in the Basin and upper Russian
River watershed to provide water supplies. As explained above, active conjunctive use, or di2ect recharge, includes any practice that delivers water to the aquifer and increases groundwater storage. Passive conjunctive use, or indirect recharge, includes conjunctive use practices (i.e.,coordinated uses of surface water and groundwater) that reduce the amount of groundwater withdrawals which leads to increased aquifer storage.",13 / 4.3.1,"Provides information on supply augmentation projects including conjunctive use (rehabilitating reservoirs, constructing reservoirs, additional of off-stream tanks),  managed aquifer recharge, demand management water conservation.  All projects are listed under the planned and potential future projects section. Most of all the supply augmentation projects are hypothetical and not proposed as projects with qualifier that ""Evaluation and implementation of some of these PMAs is still subject to funding availability.""",,
Lauren,,,,,"Do they evaluate whether Project and Management Actions close the gap for current and projected sustainable yield (e.g., overdraft as compared to the projected sustainable yield)? ","No: No mention of sustainable yield or overdraft, or closing the gap through PMAs
Somewhat: PMAs are described to close the gap but are future potential projects
Yes: Planned PMAs are identified as those that close the gap for projected sustainable yield and is demonstrated quantitatively","sustainable yield, overdraft, balance",No,,,None of the project mgmt actions are very detailed or quantitative. No explicit mention of maintaining or closing gap of sustainable yield,,
Lauren,,,,,Does the GSP reference / propose any new water markets in the basin?,"No: No new water markets referenced or proposed
Somewhat: no somewhat for this question
Yes: New water markets are referenced or proposed",water market,No,,,,,
Lauren,,,,,"Does the GSP identify the potential impact of climate change on obtaining/crossing thresholds for Sustainable Management Criteria (e.g., as a driver of undesirable result or potential reason for crossing a minimum threshold)?","No: No impacts from climate change referenced in SMC
Somewhat: References climate change impacts but does not identify as a reason for crossing thresholds
Yes: Explicitly identifies climate change as a reason for obtaining/crossing thresholds for SMC",climate change,Yes,"3.4.2.1 Potential Causes of Undesirable Results Basin groundwater pumping currently does not exceed the sustainable yield of the Basin (as discussed in Chapter 2). Future decline in water levels in the Basin may occur due to several possible causes, not including overdraft (see Section 2.2.3.3): 
• Change in Basin pumping distribution and/or volumes. 
• Reduction in natural recharge as a result of climate change, or other sources that reduce recharge or increase groundwater pumping. 
• A significant reduction in groundwater inflow from the surrounding watershed due to lower precipitation. 
• A significant change in managed releases from Lake Mendocino and the Potter Valley Project that impact surface water interactions with groundwater aquifers.
• Incision of Russian River and tributary channels
Changes in pumping distribution and volume may occur due to significant rural residential, agricultural, and urban growth that depend on groundwater as a water supply. Climate change is expected to raise average annual temperatures and intensify rainfall periods while extending dry periods (CCTAG 2015). Together with possible vegetation changes in surrounding areas and along  tributaries, climate change may significantly increase or decrease recharge compared to historical conditions. To the degree that climate change may lead to reduced recharge in and runoff from surrounding areas, stream recharge to the Basin (especially on the upper alluvial fans) will be lower and thus, reduce the dynamic equilibrium water level in the Basin (Section 2.2.3.3). On the other hand, future increased recharge and runoff in the surrounding areas may have the opposite effects and thus, raise water levels in the Basin.

",21 / 3.4.2.1,Explicit mention of climate change as a potential driver of causing undesirable results,,
Lauren,,,,,"Does the GSP includes details on coordination with water quality control programs (e.g., Regional Water Quality Control Board, CV-Salts)?","No: No mention of RWQCB or it is mentioned but coordination not discussed at all
Somewhat: Recognizes RWQCB as interested party or stakeholder but details of coordination not included
Yes: Coordination between RWQCB and GSA are clearly defined","Regional Water Quality Control Board (RWQCB), CV-Salts",Somewhat,"Federal and state standards for water quality, water quality objectives defined in the Basin Plan, and  the management of known and suspected contaminated sites within the Basin will continue to be managed by the relevant agency (NCRWQCB). The role of the GSA is to provide local oversight of groundwater quality, collaborate with appropriate parties to implement water quality projects and actions, and to evaluate and monitor, as needed, water quality effects of projects and actions implemented to meet the requirements of other sustainable management criteria. Groundwater in the Basin is used for a variety of beneficial uses including agriculture, domestic use, and municipal water supply. Groundwater is also an important component of streamflow and its water quality benefits groundwater-dependent ecosystems (GDEs) and instream environmental resources. These beneficial uses, among others, are protected by the NCRWQCB through the water quality objectives adopted in the Basin Plan. Project and management actions implemented as a result of the GSP need to consider, and monitor for, potential impacts to groundwater quality that could cause degradation below these water quality objectives and affect key beneficial uses of groundwater in the Basin.

4.3.3.1 Well inventory program A detailed well inventory will improve the understanding of the Basin’s conditions and will enhance integrated hydrological model and well impact model results. It will also help solve ongoing issues with the evaluation of de-minimis users and their proper inclusion in the basin’s management and modeling. The GSA will conduct outreach and surveys to assess the willingness of water users in participating in this program and investigate different approaches to facilitate the development of such inventory. This feasibility phase will involve coordination with the SWRCB and NCRWQCB, DWR, the County’s environmental health department, City of Ukiah, and other local water management, regulatory entities, and NGOs to obtain and assess existing data, ground-truth the dataset used in GSP development, and evaluating data gaps. Based upon this evaluation next phases of the inventory will be developed and implemented.","43 / 3.7.2

24 / 4.3.3.1",Somewhat since RWQCB is identified as the relevant agency that manages water quality and is mentioned that there will be coordination for the feasibility phase of the well inventory program,,
,,,,,"How many PMAs are there (total #, including tiers)?","No spectrum, just # of PMAs",,28,,,This includes those that are on-going (GSP member agencies on-going projects and management actions) and PMAs that are proposed for future implementaiton (2022 on). It is a long list with the proposed PMAs with very little details (a paragraph for so for each.,,
,,,,,"Are the PMAs all planned projects?  If not, please elaborate whether projects are proposed and how many are proposed versus planned?","no = all proposed
somewhat = mix of planned and proposed
yes = all planned",,Somewhat,,,"Some on-going, some planned and some proposed",,
